candidate_id,centroid_z_mm,centroid_y_mm,centroid_x_mm,equiv_diameter_mm,voxel_count,mean_hu,max_hu,sphericity,slice_range
1,227.48,208.25,199.51,9.39,558,-198.5,238.0,0.359,109-119
2,121.9,134.33,250.29,9.18,522,-142.2,190.0,0.338,54-68
3,408.34,121.09,96.96,9.15,516,-45.1,399.0,0.523,201-207
4,76.79,115.7,248.19,8.57,424,-261.2,11.0,0.392,34-42
5,116.25,110.03,236.19,8.3,385,-261.3,88.0,0.381,55-61
6,139.32,125.22,260.79,8.1,359,-53.4,292.0,0.356,64-76
7,149.89,140.59,249.1,7.94,337,-60.4,262.0,0.408,68-80
8,129.43,161.55,252.85,7.74,313,-231.4,158.0,0.446,60-68
9,95.21,125.83,265.59,7.37,270,-161.9,166.0,0.384,41-57
10,224.0,192.96,226.53,7.31,263,-344.2,-220.0,0.405,112-112
11,153.13,131.98,244.0,7.19,251,-17.0,366.0,0.361,71-81
12,477.26,187.18,113.25,7.15,247,-171.9,254.0,0.384,232-251
13,398.3,199.06,200.08,6.86,218,-190.7,329.0,0.349,191-204
14,340.71,105.06,197.81,6.83,215,-326.0,-78.0,0.306,167-174
15,140.06,136.77,262.2,6.57,191,-17.5,318.0,0.483,64-76
16,100.13,108.92,239.08,6.46,182,-290.8,72.0,0.409,47-54
17,437.69,157.29,195.69,6.27,166,-315.5,-78.0,0.345,214-222
18,63.93,122.89,257.14,6.24,164,-188.9,56.0,0.426,27-39
19,417.95,210.25,186.95,6.11,154,-331.2,-112.0,0.321,204-218
20,631.8,150.89,203.23,6.03,148,-271.3,380.0,0.359,313-319
21,691.82,181.68,198.96,5.82,133,-309.9,38.0,0.366,343-350
22,442.32,180.53,105.23,5.79,131,-197.8,286.0,0.404,217-225
23,321.72,113.46,63.75,5.64,121,-210.2,79.0,0.393,152-167
24,227.75,169.04,241.7,5.62,120,-223.6,186.0,0.458,112-116
25,642.58,153.84,163.93,5.53,114,-230.2,131.0,0.472,318-326
26,298.43,96.48,195.85,5.5,112,-326.9,-162.0,0.381,146-151
27,270.0,156.07,100.11,5.48,111,-337.8,-170.0,0.529,135-135
28,476.69,176.01,209.97,5.46,110,-144.8,298.0,0.435,234-243
29,519.0,137.73,175.53,5.46,110,-328.5,-149.0,0.308,257-264
30,94.39,137.44,245.34,5.41,107,-130.1,222.0,0.509,42-52
31,555.89,139.13,138.41,5.4,106,-236.3,40.0,0.406,271-283
32,305.67,119.71,120.14,5.36,104,-308.6,-121.0,0.344,149-157
33,489.96,190.27,202.37,5.33,102,-207.6,163.0,0.355,237-254
34,674.91,201.71,122.39,5.31,101,-253.1,34.0,0.377,335-343
35,569.78,172.06,141.42,5.28,99,-254.5,42.0,0.31,272-301
36,249.34,102.77,59.96,5.18,94,-196.3,142.0,0.419,118-132
37,506.85,205.33,188.44,5.15,92,-315.3,38.0,0.354,251-258
38,106.58,155.95,248.73,5.11,90,-95.7,247.0,0.552,51-57
39,689.8,191.32,118.09,5.07,88,-225.9,77.0,0.526,341-347
40,207.19,232.1,193.23,4.99,84,-197.7,286.0,0.381,93-115
41,437.37,180.08,194.16,4.95,82,-184.3,76.0,0.573,216-221
42,287.14,165.18,117.85,4.93,81,-218.9,136.0,0.373,138-150
43,299.98,98.75,213.1,4.93,81,-310.8,-61.0,0.355,146-157
44,268.23,219.66,188.18,4.89,79,-262.3,-37.0,0.422,132-136
45,232.97,171.58,208.19,4.87,78,-337.2,-165.0,0.434,116-118
46,319.46,105.45,228.95,4.87,78,-224.3,83.0,0.438,151-166
47,447.26,147.93,117.87,4.87,78,-211.1,143.0,0.432,215-229
48,497.72,159.92,203.56,4.87,78,-179.9,272.0,0.562,245-253
49,226.0,183.76,218.77,4.85,77,-349.7,-263.0,0.544,113-113
50,218.44,209.52,209.57,4.74,72,-330.2,-4.0,0.453,109-110
51,512.28,155.19,123.79,4.74,72,-190.2,200.0,0.408,250-266
52,111.55,151.82,273.75,4.72,71,-251.9,-19.0,0.455,54-59
53,479.1,148.04,125.62,4.68,69,-129.3,319.0,0.501,235-244
54,220.0,202.44,209.07,4.65,68,-353.4,-275.0,0.614,110-110
55,539.85,146.68,130.33,4.65,68,-177.2,263.0,0.357,262-276
56,417.1,121.89,112.56,4.63,67,-226.4,219.0,0.435,201-216
